@relation BOOKKEEPER_dataset-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version numeric
@attribute LOC numeric
@attribute LOC_touched numeric
@attribute NR numeric
@attribute NFix numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute AVG_LOC_added numeric
@attribute Churn numeric
@attribute MAX_Churn numeric
@attribute AVG_Churn numeric
@attribute ChgSetSize numeric
@attribute MAX_ChgSet numeric
@attribute AVG_ChgSize numeric
@attribute Buggy {Yes,No}

@data
2,115,26,5,0,3,2,0,1,1,0,688,271,137,No
2,343,131,7,0,17,7,2,14,6,2,837,239,119,No
2,85,10,4,0,1,1,0,1,1,0,453,271,113,No
2,73,0,1,0,0,0,0,0,0,0,0,0,0,No
2,59,5,3,0,0,0,0,0,0,0,433,271,144,No
2,130,15,5,0,7,6,1,7,6,1,725,272,145,No
2,366,14,3,0,2,2,0,2,2,0,345,272,115,Yes
2,245,34,7,0,20,11,2,20,11,2,874,272,124,Yes
2,685,183,9,1,99,37,11,99,37,11,936,271,104,Yes
2,367,26,6,0,1,1,0,1,1,0,763,235,127,No
2,104,15,5,0,5,4,1,5,4,1,725,272,145,No
2,42,0,1,0,0,0,0,0,0,0,0,0,0,No
2,67,14,2,0,1,1,0,1,1,0,271,271,135,No
2,64,19,4,0,18,9,4,18,9,4,675,271,168,Yes
2,48,4,2,0,0,0,0,0,0,0,271,271,135,No
2,184,20,4,0,0,0,0,-2,0,0,547,271,136,No
2,50,0,1,0,0,0,0,0,0,0,0,0,0,No
2,51,0,1,0,0,0,0,0,0,0,0,0,0,No
2,99,3,2,0,1,1,0,1,1,0,316,316,158,No
2,144,5,2,0,5,5,2,5,5,2,432,432,216,No
2,44,0,1,0,0,0,0,0,0,0,0,0,0,No
2,43,0,1,0,0,0,0,0,0,0,0,0,0,No
2,57,3,2,0,0,0,0,0,0,0,432,432,216,No
2,163,1,2,0,0,0,0,0,0,0,271,271,135,No
2,6524,23426,3,0,11223,6461,3741,11195,6461,3731,460,267,153,Yes
2,154,2,2,0,0,0,0,0,0,0,271,271,135,No
2,44,1,2,0,0,0,0,0,0,0,432,432,216,No
2,42,1,2,0,0,0,0,0,0,0,271,271,135,No
2,426,6,2,0,3,3,1,1,1,0,206,206,103,Yes
2,1043,41,3,2,21,20,7,21,20,7,287,206,95,Yes
2,93,0,1,0,0,0,0,0,0,0,0,0,0,No
2,356,2,2,0,0,0,0,-2,0,-1,206,206,103,Yes
2,401,10,3,2,3,3,1,3,3,1,255,135,85,Yes
2,107,59,4,0,6,4,1,6,4,1,717,296,179,Yes
2,107,47,6,0,3,1,0,3,1,0,821,283,136,Yes
2,94,40,5,0,5,3,1,5,3,1,754,296,150,Yes
2,102,51,3,0,1,1,0,1,1,0,421,271,140,No
2,46,0,1,0,0,0,0,0,0,0,0,0,0,No
2,300,13,4,1,10,8,2,10,8,2,690,271,172,Yes
2,33,5,3,0,1,1,0,1,1,0,594,316,198,No
