Dataset,#Training release,%traning,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,2,51.724137931034484,50.0,20.952380952380953,RANDOMFOREST,UNDERSAMPLING,NOSELECTION,THRESHOLD,121.0,253.0,245.0,11.0,0.3235294117647059,0.9166666666666666,0.7224199829621516,0.24415116976604684,
BOOKKEEPER,2,51.724137931034484,50.0,20.952380952380953,RANDOMFOREST,UNDERSAMPLING,NOSELECTION,LEARNING,186.0,417.0,330.0,12.0,0.30845771144278605,0.9393939393939394,0.7480866225846146,0.21760200093793952,
BOOKKEEPER,2,38.74538745387454,50.0,20.952380952380953,RANDOMFOREST,SMOTE,NOSELECTION,NOSENSITIVE,52.0,84.0,165.0,14.0,0.38235294117647056,0.7878787878787878,0.8522879396373372,0.32418231971627487,
BOOKKEEPER,2,38.74538745387454,50.0,20.952380952380953,RANDOMFOREST,SMOTE,NOSELECTION,THRESHOLD,115.0,226.0,272.0,17.0,0.33724340175953077,0.8712121212121212,0.7407584884994524,0.2638700556821789,
BOOKKEEPER,2,38.74538745387454,50.0,20.952380952380953,RANDOMFOREST,SMOTE,NOSELECTION,LEARNING,178.0,370.0,377.0,20.0,0.3248175182481752,0.898989898989899,0.7653712493069923,0.2447157770482128,
BOOKKEEPER,2,44.303797468354425,37.121212121212125,20.952380952380953,RANDOMFOREST,NOBALANCING,BESTFIRST,NOSENSITIVE,42.0,43.0,206.0,24.0,0.49411764705882355,0.6363636363636364,0.8116405013995376,0.4193148988856789,
BOOKKEEPER,2,44.303797468354425,37.121212121212125,20.952380952380953,RANDOMFOREST,NOBALANCING,BESTFIRST,THRESHOLD,98.0,141.0,357.0,34.0,0.4100418410041841,0.7424242424242424,0.7586101983692345,0.3538802348887091,
BOOKKEEPER,2,44.303797468354425,37.121212121212125,20.952380952380953,RANDOMFOREST,NOBALANCING,BESTFIRST,LEARNING,157.0,267.0,480.0,41.0,0.37028301886792453,0.7929292929292929,0.7661927169959298,0.30681184893042396,
BOOKKEEPER,2,53.4804753820034,50.0,20.952380952380953,RANDOMFOREST,OVERSAMPLING,BESTFIRST,NOSENSITIVE,48.0,68.0,181.0,18.0,0.41379310344827586,0.7272727272727273,0.7810940732627479,0.35527631015279154,
BOOKKEEPER,2,53.4804753820034,50.0,20.952380952380953,RANDOMFOREST,OVERSAMPLING,BESTFIRST,THRESHOLD,102.0,182.0,316.0,30.0,0.3591549295774648,0.7727272727272727,0.7245040769137154,0.28617239610056433,
BOOKKEEPER,2,53.4804753820034,50.0,20.952380952380953,RANDOMFOREST,OVERSAMPLING,BESTFIRST,LEARNING,162.0,318.0,429.0,36.0,0.3375,0.8181818181818182,0.7360958987465012,0.2576393049730378,
BOOKKEEPER,2,51.724137931034484,50.0,20.952380952380953,RANDOMFOREST,UNDERSAMPLING,BESTFIRST,NOSENSITIVE,52.0,64.0,185.0,14.0,0.4482758620689655,0.7878787878787878,0.808476329560667,0.41525060688276444,
BOOKKEEPER,2,51.724137931034484,50.0,20.952380952380953,RANDOMFOREST,UNDERSAMPLING,BESTFIRST,THRESHOLD,111.0,187.0,311.0,21.0,0.3724832214765101,0.8409090909090909,0.7421276013143483,0.31830950745989134,
BOOKKEEPER,2,51.724137931034484,50.0,20.952380952380953,RANDOMFOREST,UNDERSAMPLING,BESTFIRST,LEARNING,172.0,347.0,400.0,26.0,0.33140655105973027,0.8686868686868687,0.7551519208145714,0.2532746096207745,
BOOKKEEPER,2,38.74538745387454,50.0,20.952380952380953,RANDOMFOREST,SMOTE,BESTFIRST,NOSENSITIVE,43.0,45.0,204.0,23.0,0.48863636363636365,0.6515151515151515,0.8115492272118778,0.41941779151081476,
BOOKKEEPER,2,38.74538745387454,50.0,20.952380952380953,RANDOMFOREST,SMOTE,BESTFIRST,THRESHOLD,100.0,155.0,343.0,32.0,0.39215686274509803,0.7575757575757576,0.7514071437264208,0.3324834268230496,
BOOKKEEPER,2,38.74538745387454,50.0,20.952380952380953,RANDOMFOREST,SMOTE,BESTFIRST,LEARNING,159.0,294.0,453.0,39.0,0.3509933774834437,0.803030303030303,0.7587386583370519,0.27792577907192867,
